ID,Title,Authors,Year,Abstract,URL,Citations,DOI,Venue
1looprenormalisabili-2025,1-loop renormalisability of integrable sigma-models from 4d Chern-Simons theory,Sylvain Lacroix; Nat Levine; A. Wallberg,2025,"Large families of integrable 2d œÉ-models have been constructed at the classical level, partly motivated by the utility of integrability on the string worldsheet. It is natural to ask whether these theories are renormalisable at the quantum level, and whether they define quantum integrable field theories. By considering examples, a folk theorem has emerged: the classically integrable œÉ-models always turn out to be renormalisable, at least at 1-loop order. We prove this theorem for a large class of models engineered on surface defects in the 4d Chern-Simons theory by Costello and Yamazaki. We derive the flow of the ‚Äòtwist 1-form‚Äô (a 4d coupling constant that distinguishes different 2d models), proving earlier conjectures and extending previous results. Our approach is general, using the ‚Äòuniversal‚Äô form of 2d integrable models‚Äô UV divergences in terms of their Lax connection and reinterpreting the result in the language of 4d Chern-Simons. These results apply equally to rational, trigonometric and elliptic models.",https://www.semanticscholar.org/paper/166481935d23e1b994979e917c839e394f7dfa3c,2,10.1007/JHEP09(2025)153,Journal of High Energy Physics
acombinatorialidenti-2025,A Combinatorial Identities Benchmark for Theorem Proving via Automated Theorem Generation,Beibei Xiong; Hangyu Lv; Haojia Shan; Jianlin Wang; Zhengfeng Yang; Lihong Zhi,2025,"Large language models (LLMs) have significantly advanced formal theorem proving, yet the scarcity of high-quality training data constrains their capabilities in complex mathematical domains. Combinatorics, a cornerstone of mathematics, provides essential tools for analyzing discrete structures and solving optimization problems. However, its inherent complexity makes it particularly challenging for automated theorem proving (ATP) for combinatorial identities. To address this, we manually construct LeanComb, combinatorial identities benchmark in Lean, which is, to our knowledge, the first formalized theorem proving benchmark built for combinatorial identities. We develop an Automated Theorem Generator for Combinatorial Identities, ATG4CI, which combines candidate tactics suggested by a self-improving large language model with a Reinforcement Learning Tree Search approach for tactic prediction. By utilizing ATG4CI, we generate a LeanComb-Enhanced dataset comprising 260K combinatorial identities theorems, each with a complete formal proof in Lean, and experimental evaluations demonstrate that models trained on this dataset can generate more effective tactics, thereby improving success rates in automated theorem proving for combinatorial identities.",https://www.semanticscholar.org/paper/3caf1dde5fd351e9b979bb518034edff9569a473,3,10.48550/arXiv.2502.17840,arXiv.org
alawofemergencemaxim-2025,A Law of Emergence: Maximum Causal Power at the Mesoscale,Liang Chen,2025,"Complex systems universally exhibit emergence, where macroscopic dynamics arise from local interactions, but a predictive law governing this process has been absent. We establish and verify such a law. We define a system's causal power at a spatial scale, $\ell$, as its Effective Information (EI$_\ell$), measured by the mutual information between a targeted, maximum-entropy intervention and its outcome. From this, we derive and prove a Middle-Scale Peak Theorem: for a broad class of systems with local interactions, EI$_\ell$ is not monotonic but exhibits a strict maximum at a mesoscopic scale $\ell^*$. This peak is a necessary consequence of a fundamental trade-off between noise-averaging at small scales and locality-limited response at large scales. We provide quantitative, reproducible evidence for this law in two distinct domains: a 2D Ising model near criticality and a model of agent-based collective behavior. In both systems, the predicted unimodal peak is decisively confirmed by statistical model selection. Our work establishes a falsifiable, first-principles law that identifies the natural scale of emergence, providing a quantitative foundation for the discovery of effective theories.",https://www.semanticscholar.org/paper/57405d81f8b649849cc8bd02ff281f480616777b,,10.48550/arXiv.2508.12016,arXiv.org
absolutezeroreinforc-2025,Absolute Zero: Reinforced Self-play Reasoning with Zero Data,Andrew Zhao; Yiran Wu; Yang Yue; Tong Wu; Quentin Xu; Matthieu Lin; Shenzhi Wang; Qingyun Wu; Zilong Zheng; Gao Huang,2025,"Reinforcement learning with verifiable rewards (RLVR) has shown promise in enhancing the reasoning capabilities of large language models by learning directly from outcome-based rewards. Recent RLVR works that operate under the zero setting avoid supervision in labeling the reasoning process, but still depend on manually curated collections of questions and answers for training. The scarcity of high-quality, human-produced examples raises concerns about the long-term scalability of relying on human supervision, a challenge already evident in the domain of language model pretraining. Furthermore, in a hypothetical future where AI surpasses human intelligence, tasks provided by humans may offer limited learning potential for a superintelligent system. To address these concerns, we propose a new RLVR paradigm called Absolute Zero, in which a single model learns to propose tasks that maximize its own learning progress and improves reasoning by solving them, without relying on any external data. Under this paradigm, we introduce the Absolute Zero Reasoner (AZR), a system that self-evolves its training curriculum and reasoning ability by using a code executor to both validate proposed code reasoning tasks and verify answers, serving as an unified source of verifiable reward to guide open-ended yet grounded learning. Despite being trained entirely without external data, AZR achieves overall SOTA performance on coding and mathematical reasoning tasks, outperforming existing zero-setting models that rely on tens of thousands of in-domain human-curated examples. Furthermore, we demonstrate that AZR can be effectively applied across different model scales and is compatible with various model classes.",https://www.semanticscholar.org/paper/09b2a0f0d7c1164ab334e13e70eb0d65b5b96393,101,10.48550/arXiv.2505.03335,arXiv.org
2,Advancing mathematics by guiding human intuition with AI,"Alex Davies, Petar Veliƒçkoviƒá, Lars Buesing, Sam Blackwell, Daniel Zheng, Nenad Toma≈°ev, Richard Tanburn, Peter Battaglia, Charles Blundell, Andr√°s Juh√°sz, Marc Lackenby, Geordie Williamson, Demis Hassabis, Pushmeet Kohli",2021,"The practice of mathematics involves discovering patterns and using these to formulate and prove conjectures, resulting in theorems. Since the 1960s, mathematicians have used computers to assist in the discovery of patterns and formulation of conjectures, most famously in the Birch and Swinnerton-Dyer conjecture, a Millennium Prize Problem. Here we provide examples of new fundamental results in pure mathematics that have been discovered with the assistance of machine learning—demonstrating a method by which machine learning can aid mathematicians in discovering new conjectures and theorems. We propose a process of using machine learning to discover potential patterns and relations between mathematical objects, understanding them with attribution techniques and using these observations to guide intuition and propose conjectures. We outline this machine-learning-guided framework and demonstrate its successful application to current research questions in distinct areas of pure mathematics, in each case showing how it led to meaningful mathematical contributions on important open problems: a new connection between the algebraic and geometric structure of knots, and a candidate algorithm predicted by the combinatorial invariance conjecture for symmetric groups. Our work may serve as a model for collaboration between the fields of mathematics and artificial intelligence (AI) that can achieve surprising results by leveraging the respective strengths of mathematicians and machine learning.",https://www.nature.com/articles/s41586-021-04086-x,N/A,10.1038/s41586-021-04086-x,Nature
advancingmathematics-2025,Advancing mathematics research with generative AI,Lisa Carbone,2025,"The main drawback of using generative AI models for advanced mathematics is that these models are not logical reasoning engines. However, Large Language Models, and their refinements, can pick up on patterns in higher mathematics that are difficult for humans to see. By putting the design of generative AI models to their advantage, mathematicians may use them as powerful interactive assistants that can carry out laborious tasks, generate and debug code, check examples, formulate conjectures and more. We discuss how generative AI models can be used to advance mathematics research. We also discuss their integration with Computer Algebra Systems and formal proof assistants such as Lean.",https://www.semanticscholar.org/paper/a6dd3ebdcdb865e276fce562f74996601d32bb7f,,,
agent0unleashingself-2025,Agent0: Unleashing Self-Evolving Agents from Zero Data via Tool-Integrated Reasoning,Peng Xia; Peng Xia; Kaide Zeng; Jiaqi Liu; Can Qin; Fang Wu; Yiyang Zhou; Caiming Xiong; Huaxiu Yao,2025,"Large Language Model (LLM) Agents, often trained with Reinforcement Learning (RL), are constrained by a dependency on human-curated data, limiting scalability and tethering AI to human knowledge. Existing self-evolution frameworks offer an alternative but are typically restricted by the model's inherent capabilities and single-round interactions, hindering the development of complex curricula involving tool use or dynamic reasoning. We introduce Agent0, a fully autonomous framework that evolves high-performing agents without external data through multi-step co-evolution and seamless tool integration. Agent0 establishes a symbiotic competition between two agents initialized from the same base LLM: a curriculum agent that proposes increasingly challenging frontier tasks, and an executor agent that learns to solve them. We integrate external tools to enhance the executor's problem-solving capacity; this improvement, in turn, pressures the curriculum agent to construct more complex, tool-aware tasks. Through this iterative process, Agent0 establishes a self-reinforcing cycle that continuously produces high-quality curricula. Empirically, Agent0 substantially boosts reasoning capabilities, improving the Qwen3-8B-Base model by 18% on mathematical reasoning and 24% on general reasoning benchmarks. Code is available at https://github.com/aiming-lab/Agent0.",https://www.semanticscholar.org/paper/a647788b47b1bac9c137ab192316f72de52471d4,1,,
airesearcherautonomo-2025,AI-Researcher: Autonomous Scientific Innovation,Jiabin Tang; Lianghao Xia; Zhonghang Li; Chao Huang,2025,"The powerful reasoning capabilities of Large Language Models (LLMs) in mathematics and coding, combined with their ability to automate complex tasks through agentic frameworks, present unprecedented opportunities for accelerating scientific innovation. In this paper, we introduce AI-Researcher, a fully autonomous research system that transforms how AI-driven scientific discovery is conducted and evaluated. Our framework seamlessly orchestrates the complete research pipeline--from literature review and hypothesis generation to algorithm implementation and publication-ready manuscript preparation--with minimal human intervention. To rigorously assess autonomous research capabilities, we develop Scientist-Bench, a comprehensive benchmark comprising state-of-the-art papers across diverse AI research domains, featuring both guided innovation and open-ended exploration tasks. Through extensive experiments, we demonstrate that AI-Researcher achieves remarkable implementation success rates and produces research papers that approach human-level quality. This work establishes new foundations for autonomous scientific innovation that can complement human researchers by systematically exploring solution spaces beyond cognitive limitations.",https://www.semanticscholar.org/paper/80a0b76dedc4c3e3d365bbaececcd44a996eb38b,9,10.48550/arXiv.2505.18705,arXiv.org
10,AlphaEvolve: A coding agent for scientific and algorithmic discovery,"Alexander Novikov, Ng√¢n V≈©, Marvin Eisenberger, Emilien Dupont, Po-Sen Huang, Adam Zsolt Wagner, Sergey Shirobokov, Borislav Kozlovskii, Francisco J.R. Ruiz, Abbas Mehrabian, M. Pawan Kumar, Abigail See, Swarat Chaudhuri, George Holland, Alex Davies, Sebastian Nowozin, Pushmeet Kohli, Matej Balog",2025,"In this white paper, we present AlphaEvolve, an evolutionary coding agent that substantially enhances capabilities of state-of-the-art LLMs on highly challenging tasks such as tackling open scientific problems or optimizing critical pieces of computational infrastructure. AlphaEvolve orchestrates an autonomous pipeline of LLMs, whose task is to improve an algorithm by making direct changes to the code. Using an evolutionary approach, continuously receiving feedback from one or more evaluators, AlphaEvolve iteratively improves the algorithm, potentially leading to new scientific and practical discoveries. We demonstrate the broad applicability of this approach by applying it to a number of important computational problems. When applied to optimizing critical components of large-scale computational stacks at Google, AlphaEvolve developed a more efficient scheduling algorithm for data centers, found a functionally equivalent simplification in the circuit design of hardware accelerators, and accelerated the training of the LLM underpinning AlphaEvolve itself. Furthermore, AlphaEvolve discovered novel, provably correct algorithms that surpass state-of-the-art solutions on a spectrum of problems in mathematics and computer science, significantly expanding the scope of prior automated discovery methods (Romera-Paredes et al., 2023). Notably, AlphaEvolve developed a search algorithm that found a procedure to multiply two 4×4 complex-valued matrices using 48 scalar multiplications; offering the first improvement, after 56 years, over Strassen's algorithm in this setting. We believe AlphaEvolve and coding agents like it can have a significant impact in improving solutions of problems across many areas of science and computation.",https://arxiv.org/abs/2506.13131,N/A,10.48550/arXiv.2506.13131,arXiv
atgbenchmarkingautom-2024,ATG: Benchmarking Automated Theorem Generation for Generative Language Models,Xiaohan Lin; Qingxing Cao; Yinya Huang; Zhicheng YANG; Zhengying Liu; Zhenguo Li; Xiaodan Liang,2024,"Humans can develop new theorems to explore broader and more complex mathematical results. While current generative language models (LMs) have achieved significant improvement in automatically proving theorems, their ability to generate new or reusable theorems is still under-explored. Without the new theorems, current LMs struggle to prove harder theorems that are distant from the given hypotheses with the exponentially growing search space. Therefore, this paper proposes an Automated Theorem Generation (ATG) benchmark that evaluates whether an agent can automatically generate valuable (and possibly brand new) theorems that are applicable for downstream theorem proving as reusable knowledge. Specifically, we construct the ATG benchmark by splitting the Metamath library into three sets: axioms, library, and problem based on their proving depth. We conduct extensive experiments to investigate whether current LMs can generate theorems in the library and benefit the problem theorems proving. The results demonstrate that high-quality ATG data facilitates models' performances on downstream ATP. However, there is still room for current LMs to develop better ATG and generate more advanced and human-like theorems. We hope the new ATG challenge can shed some light on advanced complex theorem proving.",https://www.semanticscholar.org/paper/2f85aa1f80c944d2a167262e38fb9d0611e4dc7f,9,10.48550/arXiv.2405.06677,NAACL-HLT
